 id ring tmt  diam  c98 c99 c00 
607  6 AMB 18.90   0   0   0
608  6 AMB 14.70   0   0   0
609  6 AMB 12.70   0   0   0
610  6 AMB  7.20   0   0   0
611  6 AMB 15.60   0   0   0
612  6 AMB 15.50   0   0   0
613  6 AMB 16.20   0   0   0
614  6 AMB 19.10   0   1   3
615  6 AMB  8.70   0   0   0
616  6 AMB 16.40   0   7   0
617  6 AMB  7.90   0   0   0
618  6 AMB 20.10   1   1   3
619  6 AMB 12.90   0   0   0
620  6 AMB 16.40   0   0   3
621  6 AMB  9.10   0   0   0
622  6 AMB 18.00   0   0   0
623  6 AMB 16.20   0   0   0
624  6 AMB 16.50   0   0   0
625  6 AMB 19.90   0   0   0
626  6 AMB 13.10   0   0   0
627  6 AMB 18.00   0   0   0
628  6 AMB 16.00   0   0   0
629  6 AMB 16.50   0   0   1
630  6 AMB 17.90   0   0   0
631  6 AMB 22.70   0   0   0
632  6 AMB 22.90   0   0   0
633  6 AMB 12.20   0   0   0
634  6 AMB 12.40   0   1   0
635  6 AMB 10.10   0   0   0
636  6 AMB  8.50   0   0   0
637  6 AMB 12.40   0   0   0
638  6 AMB 19.50   0   2   0
639  6 AMB 18.40   0   0  10
640  6 AMB 14.40   0   0   0
641  6 AMB 11.00   0   0   0
642  6 AMB  8.00   0   0   0
643  6 AMB 10.60   0   0   0
644  6 AMB 21.20   0   5  10
